"KeyPath","Name","Value"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","Norton Driver Updater UI","""C:\Program Files\Norton\Driver Updater\NortonDriverUpdUI.exe"" /nogui"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","Norton Utilities UI","""C:\Program Files\Norton\Utilities\NortonUtilitiesUI.exe"" /nogui"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","NortonUI.exe","""C:\Program Files\Norton\Suite\AvLaunch.exe"" /gui"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe"
"HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","Delete Cached Standalone Update Binary","C:\WINDOWS\system32\cmd.exe /q /c del /q ""C:\Program Files\Microsoft OneDrive\StandaloneUpdater\OneDriveSetup.exe"""
"HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","Delete Cached Update Binary","C:\WINDOWS\system32\cmd.exe /q /c del /q ""C:\Program Files\Microsoft OneDrive\Update\OneDriveSetup.exe"""
"HKLM:\Software\Microsoft\Windows\CurrentVersion\RunOnce","msedge_cleanup_{F3017226-FE2A-4295-8BDF-00C3A9A7E4C5}","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.86\Installer\setup.exe"" --msedgewebview --delete-old-versions --system-level --verbose-logging --on-logon"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Adobe Acrobat Synchronizer","""C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Discord","""C:\Users\ivank\AppData\Local\Discord\Update.exe"" --processStart Discord.exe"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","GoogleChromeAutoLaunch_614C9B91B77E9313A7E690EE35AD2C6C","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --no-startup-window /prefetch:5"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Greenshot","""C:\Users\ivank\AppData\Local\Programs\Greenshot\Greenshot.exe"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","MicrosoftCopilotAutoLaunch_DC40ECD53B0948188C380898829922B3","""C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe"" --no-startup-window --win-session-start"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","MicrosoftEdgeAutoLaunch_418A32688F9E1958D7CD4239FB5A60DE","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --win-session-start"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Norton Browser","C:\Users\ivank\AppData\Local\Norton\Browser\Update\1.8.1994.6\NortonBrowserUpdateCore.exe"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","NortonBrowserAutoLaunch_5C0988702EE16D111020EDA26707F424","""C:\Users\ivank\AppData\Local\Norton\Browser\Application\NortonBrowser.exe"" --check-run=src=logon --onboarding-at-startup --auto-launch-at-startup --profile-directory=""Default"""
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","OneDrive","""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /background"
"HKCU:\Software\Microsoft\Windows\CurrentVersion\Run","Teams","""C:\Users\ivank\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated"
